date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2026/03/12,TX,202603,33678.0,33939.0,33326.0,33530.0,-474,-1.39%,78520,33512.0,74241.0,33528,33531,35879,17068,,一般,,day
2026/03/12,TX,202603,33942.0,34006.0,33515.0,33707.0,-297,-0.87%,87152,,,33706,33728,35879,17068,,盤後,,after
2026/03/13,TX,202603,32664.0,33518.0,32663.0,33315.0,-197,-0.59%,84529,33304.0,70549.0,33311,33316,35879,17068,,一般,,day
2026/03/13,TX,202603,33630.0,33840.0,32442.0,32442.0,-1070,-3.19%,98937,,,32441,32446,35879,17068,,盤後,,after
2026/03/16,TX,202603,33460.0,33723.0,33077.0,33250.0,-54,-0.16%,107940,33264.0,43657.0,33250,33260,35879,17068,,一般,,day
2026/03/16,TX,202603,33013.0,33663.0,32680.0,32815.0,-489,-1.47%,105955,,,32817,32853,35879,17068,,盤後,,after
2026/03/17,TX,202603,33616.0,34017.0,33593.0,33795.0,531,1.60%,77658,33801.0,24545.0,33795,33798,35879,17068,,一般,,day
2026/03/17,TX,202603,33370.0,33889.0,33100.0,33685.0,421,1.27%,57485,,,33684,33692,35879,17068,,盤後,,after
2026/03/18,TX,202604,34351.0,34580.0,34247.0,34551.0,634,1.87%,42935,34558.0,67799.0,34545,34562,35968,31227,,一般,,day
2026/03/18,TX,202603,33614.0,34225.0,33502.0,34101.0,300,0.89%,46685,,,34092,34101,35879,17068,,盤後,,after
2026/03/19,TX,202604,33898.0,34083.0,33537.0,33553.0,-1005,-2.91%,70707,33559.0,72389.0,33546,33556,35968,31227,,一般,,day
2026/03/19,TX,202604,34560.0,34734.0,33613.0,33897.0,-661,-1.91%,76539,,,33811,33898,35968,31227,,盤後,,after
2026/03/20,TX,202604,33809.0,33888.0,33371.0,33559.0,0,0.00%,78064,33559.0,70587.0,33559,33574,35968,31227,,一般,,day
2026/03/20,TX,202604,33550.0,33809.0,32856.0,33782.0,223,0.66%,100009,,,33777,33782,35968,31227,,盤後,,after
2026/03/23,TX,202604,32501.0,32890.0,32213.0,32532.0,-1027,-3.06%,85507,32559.0,71403.0,32530,32537,35968,31227,,一般,,day
2026/03/23,TX,202604,33408.0,33744.0,32550.0,32737.0,-822,-2.45%,88226,,,32733,32746,35968,31227,,盤後,,after
2026/03/24,TX,202604,33280.0,33393.0,32342.0,32771.0,212,0.65%,92474,32781.0,70222.0,32771,32775,35968,31227,,一般,,day
2026/03/24,TX,202604,32220.0,33989.0,32100.0,33618.0,1059,3.25%,117893,,,33594,33618,35968,31227,,盤後,,after
2026/03/25,TX,202604,33786.0,33880.0,33444.0,33638.0,857,2.61%,65796,33623.0,71475.0,33621,33635,35968,31227,,一般,,day
2026/03/25,TX,202604,33086.0,33600.0,32785.0,33459.0,678,2.07%,85273,,,33440,33459,35968,31227,,盤後,,after
2026/03/26,TX,202604,33855.0,34024.0,33347.0,33440.0,-183,-0.54%,68947,33441.0,71761.0,33433,33441,35968,31227,,一般,,day
2026/03/26,TX,202604,33559.0,33930.0,33456.0,33800.0,177,0.53%,72885,,,33791,33800,35968,31227,,盤後,,after
2026/03/27,TX,202604,32793.0,33243.0,32652.0,33120.0,-321,-0.96%,64049,33126.0,70976.0,33118,33122,35968,31227,,一般,,day
2026/03/27,TX,202604,33474.0,33542.0,32632.0,32807.0,-634,-1.90%,68139,,,32806,32816,35968,31227,,盤後,,after
2026/03/30,TX,202604,32048.0,32712.0,32027.0,32468.0,-658,-1.99%,70743,32480.0,70619.0,32471,32477,35968,31227,,一般,,day
2026/03/30,TX,202604,33049.0,33060.0,32244.0,32244.0,-882,-2.66%,71462,,,32243,32256,35968,31227,,盤後,,after
2026/03/31,TX,202604,32000.0,32451.0,31806.0,31979.0,-501,-1.54%,93371,31954.0,71514.0,31964,31979,35968,31227,,一般,,day
2026/03/31,TX,202604,32649.0,32858.0,31902.0,32031.0,-449,-1.38%,66958,,,32031,32041,35968,31227,,盤後,,after
2026/04/01,TX,202604,31943.0,33200.0,31740.0,33084.0,1130,3.54%,86828,,,33078,33085,35968,31227,,盤後,,after
2026/04/01,TX,202604,33049.0,33411.0,32906.0,33402.0,1448,4.53%,65125,33389.0,74778.0,33379,33403,35968,31227,,一般,,day
2026/04/02,TX,202604,33601.0,33880.0,33317.0,33567.0,178,0.53%,70566,,,33561,33569,35968,31227,,盤後,,after
2026/04/02,TX,202604,33676.0,33687.0,32486.0,32487.0,-902,-2.70%,85468,32505.0,71237.0,32487,32503,35968,31227,,一般,,day
2026/04/07,TX,202604,32576.0,33131.0,32192.0,32877.0,372,1.14%,69057,,,32866,32877,35968,31227,,盤後,,after
